Era,Region,miniIso_cut,sip3d_cut,optimization_metric,avg_significance,n_bins_used,recommendation
2022EE,Endcap,0.6,9.0,2.329,0.291,8,
2022EE,Endcap,0.6,10.0,2.293,0.287,8,
2022EE,Endcap,0.65,4.0,3.652,0.522,7,
2022EE,Endcap,0.65,5.0,3.039,0.434,7,
2022EE,Endcap,0.65,6.0,2.833,0.405,7,
2022EE,Endcap,0.65,7.0,2.609,0.326,8,
2022EE,Endcap,0.65,8.0,2.504,0.313,8,
2022EE,Endcap,0.65,9.0,2.634,0.293,9,
2022EE,Endcap,0.65,10.0,2.589,0.288,9,
2022EE,Endcap,0.7,4.0,3.849,0.550,7,
2022EE,Endcap,0.7,5.0,3.159,0.451,7,
2022EE,Endcap,0.7,6.0,3.012,0.377,8,
2022EE,Endcap,0.7,7.0,2.667,0.333,8,
2022EE,Endcap,0.7,8.0,2.893,0.321,9,
2022EE,Endcap,0.7,9.0,2.680,0.298,9,
2022EE,Endcap,0.7,10.0,2.629,0.292,9,
2022EE,Endcap,0.75,4.0,4.047,0.578,7,
2022EE,Endcap,0.75,5.0,3.331,0.416,8,
2022EE,Endcap,0.75,6.0,3.147,0.393,8,
2022EE,Endcap,0.75,7.0,3.241,0.360,9,
2022EE,Endcap,0.75,8.0,3.074,0.342,9,
2022EE,Endcap,0.75,9.0,2.850,0.317,9,
2022EE,Endcap,0.75,10.0,2.761,0.307,9,
2022EE,Endcap,0.8,4.0,4.229,0.604,7,
2022EE,Endcap,0.8,5.0,3.594,0.449,8,
2022EE,Endcap,0.8,6.0,3.231,0.404,8,
2022EE,Endcap,0.8,7.0,3.299,0.367,9,
2022EE,Endcap,0.8,8.0,3.132,0.348,9,
2022EE,Endcap,0.8,9.0,2.904,0.323,9,
2022EE,Endcap,0.8,10.0,2.853,0.285,10,
