Era,Region,miniIso_cut,sip3d_cut,mva_cut,optimization_metric,n_bins_used,recommendation
2023,Endcap,0.4,6.0,-0.3,2.782,3,BEST
2023,Endcap,0.4,6.0,-0.2,2.616,3,BEST
2023,Endcap,0.4,6.0,-0.1,2.416,3,BEST
2023,Endcap,0.4,6.0,0.0,2.208,3,BEST
2023,Endcap,0.4,6.0,0.1,2.147,3,BEST
2023,Endcap,0.4,6.0,0.2,2.038,3,BEST
2023,Endcap,0.4,6.0,0.3,1.923,3,BEST
2023,Endcap,0.4,6.0,0.4,2.081,3,
2023,Endcap,0.4,6.0,0.5,2.207,3,
2023,Endcap,0.4,6.0,0.6,0.837,1,
2023,Endcap,0.4,6.0,0.7,0.708,1,
2023,Endcap,0.4,6.0,0.8,0.545,1,
2023,Endcap,0.4,7.0,-0.8,4.171,3,
2023,Endcap,0.4,7.0,-0.7,3.615,3,
2023,Endcap,0.4,7.0,-0.6,3.171,3,
2023,Endcap,0.4,7.0,-0.5,2.763,3,
2023,Endcap,0.4,7.0,-0.4,2.602,3,
2023,Endcap,0.4,7.0,-0.3,2.499,3,
2023,Endcap,0.4,7.0,-0.2,2.402,3,
2023,Endcap,0.4,7.0,-0.1,2.225,3,
2023,Endcap,0.4,7.0,0.0,2.009,3,
2023,Endcap,0.4,7.0,0.1,2.015,3,
2023,Endcap,0.4,7.0,0.2,2.039,3,
2023,Endcap,0.4,7.0,0.3,2.049,3,
2023,Endcap,0.4,7.0,0.4,2.219,3,
2023,Endcap,0.4,7.0,0.5,2.331,3,
2023,Endcap,0.4,7.0,0.6,2.523,3,
2023,Endcap,0.4,7.0,0.7,0.473,1,
2023,Endcap,0.4,7.0,0.8,0.638,1,
2023,Endcap,0.4,8.0,-0.8,4.541,4,
2023,Endcap,0.4,8.0,-0.7,3.057,3,
2023,Endcap,0.4,8.0,-0.6,2.695,3,
2023,Endcap,0.4,8.0,-0.5,2.530,3,
2023,Endcap,0.4,8.0,-0.4,2.409,3,
2023,Endcap,0.4,8.0,-0.3,2.315,3,
2023,Endcap,0.4,8.0,-0.2,2.202,3,
2023,Endcap,0.4,8.0,-0.1,2.069,3,
2023,Endcap,0.4,8.0,0.0,1.995,3,
2023,Endcap,0.4,8.0,0.1,2.040,3,
2023,Endcap,0.4,8.0,0.2,2.070,3,
2023,Endcap,0.4,8.0,0.3,2.089,3,
2023,Endcap,0.4,8.0,0.4,2.257,3,
2023,Endcap,0.4,8.0,0.5,2.367,3,
2023,Endcap,0.4,8.0,0.6,2.623,3,
2023,Endcap,0.4,8.0,0.7,2.963,3,
2023,Endcap,0.4,8.0,0.8,0.716,1,
2023,Endcap,0.4,9.0,-0.8,4.096,4,
2023,Endcap,0.4,9.0,-0.7,2.683,3,
2023,Endcap,0.4,9.0,-0.6,2.444,3,
2023,Endcap,0.4,9.0,-0.5,2.326,3,
2023,Endcap,0.4,9.0,-0.4,2.194,3,
2023,Endcap,0.4,9.0,-0.3,2.102,3,
2023,Endcap,0.4,9.0,-0.2,2.144,3,
2023,Endcap,0.4,9.0,-0.1,2.077,3,
2023,Endcap,0.4,9.0,0.0,2.004,3,
2023,Endcap,0.4,9.0,0.1,2.080,3,
2023,Endcap,0.4,9.0,0.2,2.135,3,
2023,Endcap,0.4,9.0,0.3,2.188,3,
2023,Endcap,0.4,9.0,0.4,2.386,3,
2023,Endcap,0.4,9.0,0.5,2.502,3,
2023,Endcap,0.4,9.0,0.6,2.851,3,
2023,Endcap,0.4,9.0,0.7,3.375,3,
2023,Endcap,0.4,9.0,0.8,2.745,2,
2023,Endcap,0.4,10.0,-0.8,3.857,4,
2023,Endcap,0.4,10.0,-0.7,2.533,3,
2023,Endcap,0.4,10.0,-0.6,2.335,3,
2023,Endcap,0.4,10.0,-0.5,2.219,3,
2023,Endcap,0.4,10.0,-0.4,2.091,3,
2023,Endcap,0.4,10.0,-0.3,2.096,3,
2023,Endcap,0.4,10.0,-0.2,2.159,3,
2023,Endcap,0.4,10.0,-0.1,2.094,3,
2023,Endcap,0.4,10.0,0.0,2.020,3,
2023,Endcap,0.4,10.0,0.1,2.101,3,
2023,Endcap,0.4,10.0,0.2,2.180,3,
2023,Endcap,0.4,10.0,0.3,2.240,3,
2023,Endcap,0.4,10.0,0.4,2.438,3,
2023,Endcap,0.4,10.0,0.5,2.564,3,
2023,Endcap,0.4,10.0,0.6,3.080,3,
2023,Endcap,0.4,10.0,0.7,3.601,3,
2023,Endcap,0.4,10.0,0.8,2.868,2,
