Era,Region,miniIso_cut,sip3d_cut,mva_cut,optimization_metric,n_bins_used,recommendation
2023BPix,Endcap,0.4,7.0,0.7,1.872,2,
2023BPix,Endcap,0.4,7.0,0.8,0.414,1,
2023BPix,Endcap,0.4,8.0,-0.8,5.105,4,
2023BPix,Endcap,0.4,8.0,-0.7,4.838,4,
2023BPix,Endcap,0.4,8.0,-0.6,4.435,4,
2023BPix,Endcap,0.4,8.0,-0.5,4.565,4,
2023BPix,Endcap,0.4,8.0,-0.4,4.352,4,
2023BPix,Endcap,0.4,8.0,-0.3,4.336,4,
2023BPix,Endcap,0.4,8.0,-0.2,4.384,4,
2023BPix,Endcap,0.4,8.0,-0.1,4.376,4,
2023BPix,Endcap,0.4,8.0,0.0,4.352,4,
2023BPix,Endcap,0.4,8.0,0.1,4.411,4,
2023BPix,Endcap,0.4,8.0,0.2,3.170,3,
2023BPix,Endcap,0.4,8.0,0.3,1.831,2,
2023BPix,Endcap,0.4,8.0,0.4,1.642,2,
2023BPix,Endcap,0.4,8.0,0.5,1.540,2,
2023BPix,Endcap,0.4,8.0,0.6,1.824,2,
2023BPix,Endcap,0.4,8.0,0.7,2.265,2,
2023BPix,Endcap,0.4,8.0,0.8,0.585,1,
2023BPix,Endcap,0.4,9.0,-0.8,4.668,4,
2023BPix,Endcap,0.4,9.0,-0.7,4.542,4,
2023BPix,Endcap,0.4,9.0,-0.6,4.121,4,
2023BPix,Endcap,0.4,9.0,-0.5,4.455,4,
2023BPix,Endcap,0.4,9.0,-0.4,4.364,4,
2023BPix,Endcap,0.4,9.0,-0.3,4.362,4,
2023BPix,Endcap,0.4,9.0,-0.2,4.417,4,
2023BPix,Endcap,0.4,9.0,-0.1,4.412,4,
2023BPix,Endcap,0.4,9.0,0.0,4.390,4,
2023BPix,Endcap,0.4,9.0,0.1,4.423,4,
2023BPix,Endcap,0.4,9.0,0.2,4.613,4,
2023BPix,Endcap,0.4,9.0,0.3,4.953,4,
