Era,Region,miniIso_cut,sip3d_cut,optimization_metric,avg_significance,n_bins_used,recommendation
2023,OuterBarrel,0.6,8.0,1.637,0.327,5,
2023,OuterBarrel,0.6,9.0,1.810,0.259,7,
2023,OuterBarrel,0.6,10.0,1.780,0.254,7,
2023,OuterBarrel,0.65,4.0,2.547,0.509,5,
2023,OuterBarrel,0.65,5.0,2.293,0.459,5,
2023,OuterBarrel,0.65,6.0,2.083,0.417,5,
2023,OuterBarrel,0.65,7.0,1.918,0.320,6,
2023,OuterBarrel,0.65,8.0,1.993,0.285,7,
2023,OuterBarrel,0.65,9.0,1.874,0.268,7,
2023,OuterBarrel,0.65,10.0,1.816,0.259,7,
2023,OuterBarrel,0.7,4.0,2.815,0.563,5,
2023,OuterBarrel,0.7,5.0,2.535,0.507,5,
2023,OuterBarrel,0.7,6.0,2.357,0.393,6,
2023,OuterBarrel,0.7,7.0,2.311,0.330,7,
2023,OuterBarrel,0.7,8.0,2.140,0.306,7,
2023,OuterBarrel,0.7,9.0,2.020,0.289,7,
2023,OuterBarrel,0.7,10.0,1.958,0.280,7,
2023,OuterBarrel,0.75,4.0,2.945,0.589,5,
2023,OuterBarrel,0.75,5.0,2.777,0.463,6,
2023,OuterBarrel,0.75,6.0,2.696,0.385,7,
2023,OuterBarrel,0.75,7.0,2.493,0.356,7,
2023,OuterBarrel,0.75,8.0,2.295,0.328,7,
2023,OuterBarrel,0.75,9.0,2.148,0.307,7,
2023,OuterBarrel,0.75,10.0,2.067,0.295,7,
2023,OuterBarrel,0.8,4.0,3.133,0.627,5,
2023,OuterBarrel,0.8,5.0,2.959,0.493,6,
2023,OuterBarrel,0.8,6.0,2.866,0.409,7,
2023,OuterBarrel,0.8,7.0,2.648,0.378,7,
2023,OuterBarrel,0.8,8.0,2.418,0.345,7,
2023,OuterBarrel,0.8,9.0,2.233,0.319,7,
2023,OuterBarrel,0.8,10.0,2.159,0.308,7,
2023,Endcap,0.4,4.0,0.757,0.378,2,
2023,Endcap,0.4,5.0,0.634,0.211,3,BEST
2023,Endcap,0.4,6.0,0.575,0.192,3,BEST
2023,Endcap,0.4,7.0,0.606,0.202,3,
2023,Endcap,0.4,8.0,0.607,0.202,3,
2023,Endcap,0.4,9.0,0.626,0.209,3,
2023,Endcap,0.4,10.0,0.650,0.217,3,
2023,Endcap,0.5,4.0,1.038,0.346,3,
2023,Endcap,0.5,5.0,0.824,0.275,3,
2023,Endcap,0.5,6.0,0.750,0.250,3,
2023,Endcap,0.5,7.0,0.724,0.241,3,
2023,Endcap,0.5,8.0,0.653,0.218,3,
2023,Endcap,0.5,9.0,0.601,0.200,3,
2023,Endcap,0.5,10.0,0.601,0.200,3,
2023,Endcap,0.55,4.0,1.163,0.388,3,
2023,Endcap,0.55,5.0,0.947,0.316,3,
2023,Endcap,0.55,6.0,0.806,0.269,3,
2023,Endcap,0.55,7.0,0.778,0.259,3,
2023,Endcap,0.55,8.0,0.709,0.236,3,
2023,Endcap,0.55,9.0,0.636,0.212,3,
2023,Endcap,0.55,10.0,0.622,0.156,4,
2023,Endcap,0.6,4.0,1.298,0.433,3,
2023,Endcap,0.6,5.0,1.066,0.355,3,
2023,Endcap,0.6,6.0,0.897,0.299,3,
2023,Endcap,0.6,7.0,0.792,0.264,3,
2023,Endcap,0.6,8.0,0.802,0.201,4,
2023,Endcap,0.6,9.0,0.709,0.177,4,
2023,Endcap,0.6,10.0,0.659,0.165,4,
2023,Endcap,0.65,4.0,1.435,0.478,3,
2023,Endcap,0.65,5.0,1.190,0.397,3,
2023,Endcap,0.65,6.0,1.019,0.340,3,
2023,Endcap,0.65,7.0,1.026,0.257,4,
2023,Endcap,0.65,8.0,0.866,0.216,4,
2023,Endcap,0.65,9.0,0.764,0.191,4,
2023,Endcap,0.65,10.0,0.710,0.177,4,
2023,Endcap,0.7,4.0,1.507,0.502,3,
2023,Endcap,0.7,5.0,1.272,0.424,3,
2023,Endcap,0.7,6.0,1.102,0.367,3,
2023,Endcap,0.7,7.0,1.137,0.284,4,
2023,Endcap,0.7,8.0,0.955,0.239,4,
2023,Endcap,0.7,9.0,0.835,0.209,4,
2023,Endcap,0.7,10.0,0.775,0.194,4,
2023,Endcap,0.75,4.0,1.602,0.534,3,
2023,Endcap,0.75,5.0,1.356,0.452,3,
2023,Endcap,0.75,6.0,1.425,0.356,4,
2023,Endcap,0.75,7.0,1.252,0.313,4,
2023,Endcap,0.75,8.0,1.063,0.266,4,
2023,Endcap,0.75,9.0,0.902,0.225,4,
2023,Endcap,0.75,10.0,0.843,0.211,4,
2023,Endcap,0.8,4.0,1.660,0.553,3,
2023,Endcap,0.8,5.0,1.407,0.469,3,
2023,Endcap,0.8,6.0,1.494,0.373,4,
2023,Endcap,0.8,7.0,1.312,0.328,4,
2023,Endcap,0.8,8.0,1.117,0.279,4,
2023,Endcap,0.8,9.0,0.953,0.238,4,
2023,Endcap,0.8,10.0,0.946,0.189,5,
